name,line
Narrator,(Breeze) (Meow)
Akira,"It’s so windy tonight.... Maybe that’s why all the cats won’t stop meowing. I managed to buy some canned cat food for cheap, so I should drop by the old cat lady’s house on the way back. Kuro and Hanako get tuna; Tama gets some chicken, and Tora gets salmon. And senior food for Grandpa Tails. The old cat lady lets me take care of them every now and then because we live close by. Each cat is so cute and unique. Oh, that’s right. The old cat lady mentioned something like this.... Mysterious things happen on nights when the wind is strong, the cats are on edge, and the full moon shines bright in the sky."
Narrator,(Footsteps)
Akira,"Woah.... What a huge full moon.... It looks even brighter than usual. It’s so big and bright, I can probably get a nice picture just with my phone camera. Focus and.... Got it."
Narrator,(Snap)
Narrator,"Once I get a picture of the moon, I head to my apartment’s elevator while gazing at my phone. I press the elevator button, wait for it to arrive, and step through the open doors."
Narrator,(Elevator doors closing)
Akira,Oh. I got a really clear picture of the moon. I’ll show it to the old cat lady when I drop by with the canned cat food. ....Huh? Something seems off.
Narrator,"I look up from my smartphone, and my eyes widen in surprise. This doesn’t look like the elevator in my apartment complex."
Narrator,(Elevator sounds)
Narrator,"Thump, clatter. The echoing sounds are also unfamiliar."
Akira,What’s going on...? Was the building undergoing renovations....?
???,Hello.
Akira,....!?
Narrator,I can’t believe my eyes. A hat floats in mid-air — and it’s speaking to me.
???,"Welcome, Sir Sage. Let me escort you to this elevator’s destination. I am Murr, a Western wizard. Our destination is a world splintered by the < Great Catastrophe >."
Murr,"It’s an honor to meet you, my beloved Sir Sage."
Akira,Woah....!?
Narrator,"A gracious gentleman appears underneath the hat. He pays no attention to my exclamation of surprise, and continues speaking."
Murr,"I may soon drag you into a rather cumbersome situation, Sir Sage. Now, there are many cumbersome things in this world. Take, for example, love affairs, prestige, war, family, friends, revenge, repayment.... But this time, the most cumbersome problem of all awaits us! Saving the world — we would like to ask you for your assistance in this matter."
Akira,.....Wh.... What’s going on.... Am I dreaming.....?
Narrator,The young man named Murr smiles in response to my bewilderment.
Murr,"We’ll be arriving soon. Both the world and I have been torn apart quite terribly, and... You will probably be sorely disappointed in me. But if we could become friends nonetheless — I would be very happy. Oh, brilliant Sage. I have yearned to meet you for so, so long. Truth be told, I don’t care about the world at all. Acts of charity are a pain, after all. But..... I want you to discover the truth about this world."
Akira,Ah......
Narrator,"When Murr disappears, the elevator stops."
Narrator,(Ding)
Narrator,"Slowly, the doors open....."
Man with a fancy beard,Sir Sage....!
Akira,Huh.....
Man with a fancy beard,The Sage has arrived! The wizards’ summoning ritual was a success!
Soldier,Cheers for the Sage!
Soldier,Cheers!
Akira,Huh!? What’s going on!?
Man with a fancy beard,"Now, now, this way, Sir Sage. Thank you for coming to us. My name is Drummond. I am Central Country’s Minister of Magical Affairs."
Meek-looking man,"Erm, I’m Cock Robin, the secretary of Central Country."
Drummond,"This way, Sir Sage! Let me escort you to the Central castle before those pesky wizards arrive!"
Akira,"Huh!? Um, please wait a second. What are you all doing? Is this a prank? Or some new kind of VR experience?"
Drummond,"We were waiting for you, Sir Sage! You are going to battle the < Great Catastrophe > and save the world."
Akira,"Battle what and save the world!? Is my apartment complex doing some kind of game collaboration? Maybe there’s a camera hiding somewhere..... I really can’t have this, you know......"
Drummond,Do not fear! There’s nothing dangerous about this. The pesky wizards are the ones who will be fighting!
Akira,Wizards?
Drummond,"Yes. But they’re a rowdy bunch who never listen to our commands — much like cats. For some reason, they historically only listen to the sage who arrives from another world."
Narrator,(Footsteps)
Soldier,Sir Drummond! We have news....
